,highly_variable,highly_variable_rank,means,variances,variances_norm
MFN2,True,10656.0,0.04963417045679257,0.05014176272428503,0.8917325625283633
MIIP,True,7215.0,0.16541427723947005,0.18651853200616778,0.9300357298387913
TNFRSF8,True,1004.0,0.016116274471030256,0.021593300431249123,1.2218853988477814
TNFRSF1B,True,352.0,0.4713268736404983,1.3774532575255662,2.135961649957914
VPS13D,True,8610.0,0.09837848526794542,0.10373908901002535,0.9170167084623783
DHRS3,True,3396.0,0.07267154439390944,0.07965850043216476,0.981718968100637
PRDM2,True,6601.0,0.17480719794344474,0.19924264550933907,0.9356323391025906
EFHD2,True,635.0,0.3286533517895986,0.6237077285327296,1.4784732972758243
CASP9,True,9877.0,0.023037373937116867,0.02310217461412547,0.903032842921329
DNAJC16,True,7275.0,0.03796717421396085,0.039891288945104096,0.9295435119660398
AGMAT,True,5624.0,0.04004350405378683,0.04279465844538901,0.9455114096095545
DDI2,True,4701.0,0.0502274075538857,0.05443335083186252,0.9567502960200049
PLEKHM2,True,7806.0,0.036484081471228,0.03812294808040306,0.924691337362065
UQCRHL,True,9629.0,0.02570694087403599,0.02603739695172075,0.9061524605045554
AL450998.2,True,5944.0,0.11222068420011864,0.12336888395459845,0.9420454228319948
SPEN,True,4590.0,0.1768835277832707,0.20671960533923517,0.9585178686106237
ZBTB17,True,9311.0,0.04933755190824599,0.0508633008600597,0.9099474873187872
ARHGEF19,True,8143.0,0.029661854854656913,0.030762527790329612,0.9213970592913038
CPLANE2,True,6418.0,0.010282776349614395,0.010573577697976877,0.9373607453347897
FBXO42,True,8781.0,0.06426735218508997,0.06568043321266548,0.9153242131796522
SZRD1,True,12147.0,0.23887680442950365,0.25184155448415935,0.8481851828981193
NECAP2,True,12122.0,0.3430887878188649,0.37629604531481076,0.8494014186214394
AL137802.2,True,8978.0,0.007019972315602136,0.006971381584652656,0.913235594975193
NBPF1,True,5931.0,0.08018588095708919,0.08503601805040951,0.9422329901175345
CROCC,True,8038.0,0.0553687957286929,0.05764792587678591,0.9226748236606165
BX284668.5,True,4531.0,0.06575044492782282,0.07033283438376291,0.9591590176754635
BX284668.6,True,7696.0,0.04459165513150089,0.0467605224498855,0.925759370891483
ATP13A2,True,3900.0,0.0450860193790785,0.04958378079334881,0.9706027061016618
SDHB,True,10573.0,0.24569903104607474,0.27355264588652656,0.8934463157540246
PADI2,True,986.0,0.01107375914573858,0.014907518933617834,1.2269548714894274
PADI4,True,850.0,0.04429503658295432,0.06488241111547868,1.2934010091778665
RCC2,True,4322.0,0.04943642475776152,0.05391889524583444,0.9627021231125991
ARHGEF10L,True,1872.0,0.024520466679849712,0.02886570990441982,1.0564292418166716
ALDH4A1,True,5997.0,0.003658295432074352,0.0036452727251076104,0.9415861684580606
IFFO2,True,4238.0,0.016116274471030256,0.017044699620411587,0.9644968197537581
UBR4,True,3554.0,0.17915760332212774,0.21391935358255318,0.9784838775428877
AL035413.1,True,2709.0,0.006327862368993475,0.006881738040975415,1.0037180932431138
EMC1,True,10474.0,0.045778129325687165,0.04645552517771224,0.8953648871261657
MRTO4,True,9319.0,0.10529958473403203,0.11103094455238458,0.9098631411451983
AKR7A2,True,12061.0,0.2485663436820249,0.26412579966216027,0.8518509398317622
PQLC2,True,3805.0,0.021850899742930592,0.023550969164126564,0.9727667246502654
CAPZB,True,12904.0,1.57751631402017,2.578634155028862,0.7553365108426247
MINOS1,True,11474.0,0.4030057346252719,0.4664638213851021,0.8727467726044452
NBL1,True,2695.0,0.016709511568123392,0.018409580989319416,1.004007705418305
TMCO4,True,5765.0,0.03509986157801068,0.03743098478589972,0.9440380439948746
OTUD3,True,9567.0,0.016709511568123392,0.016629693715513424,0.906937569019548
UBXN10-AS1,True,1558.0,0.010381649199129919,0.012450304245435721,1.0930911547190298
CAMK2N1,True,2455.0,0.01107375914573858,0.012336570649231389,1.0153544344266396
MUL1,True,10734.0,0.0566541427723947,0.05681174490175198,0.8902749086665699
CDA,True,420.0,0.08641487047656714,0.18100201752234435,1.847772368205299
PINK1,True,10212.0,0.03094720189835871,0.0313767947993488,0.8991091405511598
DDOST,True,12159.0,0.5766264583745303,0.7019790858063734,0.847457402179384
HP1BP3,True,12676.0,0.7284951552303738,0.9050180654862285,0.8056072364539169
EIF4G3,True,2351.0,0.05784061696658098,0.06636638377084482,1.0201271728327757
ECE1,True,4777.0,0.09976270516116274,0.10979327899657661,0.955509642890169
AL031728.1,True,7052.0,0.004548151077714059,0.004527913087157633,0.9313953044593566
NBPF3,True,6709.0,0.010876013446707534,0.011154320035682987,0.9346594415283109
USP48,True,9101.0,0.17975084041922088,0.20006061229287334,0.9118853966857036
LINC01635,True,6486.0,0.004053786830136444,0.00403775286660382,0.9366931519347705
CDC42,True,12851.0,1.4426537472809966,2.3088340921016934,0.7725804028201272
ZBTB40,True,8970.0,0.051018390350009886,0.052771137207494656,0.9133477070524103
C1QA,True,71.0,0.030452837650781096,0.417543807574761,8.077402977364697
KDM1A,True,5197.0,0.0579394898160965,0.06190521694529444,0.9500251661310144
LUZP1,True,2573.0,0.055072177180146335,0.06272370189960033,1.0088973693012482
HNRNPR,True,12430.0,0.5197745699031046,0.6040289811153207,0.830686033599334
ZNF436,True,5352.0,0.006130116669962428,0.006290906038412175,0.9482750132245811
ZNF436-AS1,True,3572.0,0.004251532529167491,0.004431640868312651,0.978117153906336
TCEA3,True,1724.0,0.08166897369982203,0.09873839886521707,1.0720018339876338
E2F2,True,1551.0,0.004548151077714059,0.005318974097738075,1.094117180213825
ID3,True,646.0,0.14910025706940874,0.2629444094076256,1.468396945521504
MDS2,True,2081.0,0.09116076725331224,0.10797486132625873,1.0384434311100823
RPL11,True,12889.0,34.54805220486455,380.4909667386979,0.7619907075912302
ELOA,True,4773.0,0.0806802452046668,0.08683525362533154,0.9555984960595071
ELOA-AS1,True,5137.0,0.01848922285940281,0.01933575747308337,0.9506071417947333
PITHD1,True,12695.0,0.2868301364445323,0.2906067214648903,0.8025172704545364
LYPLA2,True,12769.0,0.2781293256871663,0.2763395833918725,0.789255107244451
GALE,True,6700.0,0.03490211587897963,0.03685153298672193,0.9347050814925374
HMGCL,True,8615.0,0.06238876804429504,0.06403962101889192,0.9169384607630174
FUCA1,True,5013.0,0.042910816689737,0.04621543612742568,0.9520076329341381
CNR2,True,1452.0,0.032034803243029465,0.04010884245518218,1.109084675862339
PNRC2,True,11975.0,0.38975677279019183,0.4395905074321353,0.8556502727092969
SRSF10,True,12723.0,0.5301562191022345,0.594611129553433,0.7978817303749174
IFNLR1,True,5951.0,0.006723353767055566,0.006876575886862485,0.9419588114949923
STPG1,True,8946.0,0.013150088985564565,0.01317621261395434,0.9136794323909673
NIPAL3,True,9608.0,0.11884516511765869,0.12648552472348343,0.9064373095982511
RCAN3,True,1767.0,0.48101641289301955,0.705315450536515,1.0669454273361185
AL445686.2,True,6595.0,0.02412497528178762,0.025127410860401763,0.9356566823125094
SRRM1,True,12752.0,0.9698437808977655,1.323227761611163,0.7925935605098778
CLIC4,True,1276.0,0.028277634961439587,0.03638016378928411,1.1456616924369838
RUNX3,True,3285.0,0.1853865928416057,0.22321765434807012,0.9847930020248457
SYF2,True,12679.0,0.5910618944037968,0.6880878073028798,0.8049370427834417
RSRP1,True,11460.0,0.7626062883132292,1.0433123403776663,0.8732703240986167
TMEM50A,True,12860.0,0.6369388965789994,0.7244971450843687,0.7697713232234608
RHCE,True,9621.0,0.008700810757366027,0.008625959522728368,0.9062314159877373
MACO1,True,7345.0,0.09689539252521258,0.10333654853409527,0.9290497751173227
LDLRAP1,True,3168.0,0.4729088392327467,0.6396793258132958,0.9878941028554956
MAN1C1,True,4884.0,0.016017401621514733,0.016751229203729345,0.9538514050130125
SELENON,True,4763.0,0.021949772592446116,0.023249990159643685,0.9558022912483304
AL020996.1,True,5779.0,0.0065256080680245205,0.006681430818501964,0.9439369345811726
MTFR1L,True,8696.0,0.08730472612220684,0.09076534429289873,0.9161085764593223
AL033528.2,True,9233.0,0.007514336563179751,0.007458608763096836,0.9107393636619653
PAQR7,True,3500.0,0.006031243820446905,0.006390991211999685,0.9797746965123834
STMN1,True,348.0,0.22236503856041132,0.5904183751881579,2.1469411706141837
PAFAH2,True,8687.0,0.034308878781886494,0.035508238807740906,0.9162336787750478
PDIK1L,True,5649.0,0.020961044097290885,0.021908064733647276,0.9452861038764112
ZNF593,True,6198.0,0.10846351591852878,0.11846292129312638,0.9393924636958451
CNKSR1,True,5321.0,0.0031639311844967374,0.0031542325919209063,0.9485533950332176
CEP85,True,8192.0,0.025509195175004943,0.026245290976450977,0.9209134304932387
SH3BGRL3,True,622.0,7.256179553094721,54.798896349049635,1.4917359044564429
UBXN11,True,1066.0,0.19379078505042516,0.28578760618027954,1.2033189969599434
CD52,True,1896.0,6.128435831520664,29.49966991544145,1.0541850284901884
CRYBG2,True,5600.0,0.003361676883527783,0.003350707306037778,0.945630752428949
ZNF683,True,277.0,0.022048645441961636,0.06487522516231022,2.654484268738891
DHDDS,True,7136.0,0.04202096104409729,0.04421448546981684,0.9306121277968146
HMGN2,True,694.0,1.4845758354755785,4.45170511523105,1.4275261983223115
RPS6KA1,True,9118.0,0.27447103025509195,0.31465128250883906,0.911694551703946
ARID1A,True,4153.0,0.20822622107969152,0.24774800537981984,0.965980332464014
PIGV,True,5682.0,0.025014830927427328,0.026369153344740427,0.9447466722513197
ZDHHC18,True,6104.0,0.03322127743721574,0.035285044080005476,0.9403774606026045
GPN2,True,9120.0,0.04538263792762508,0.046887112547337274,0.911686390181163
GPATCH3,True,9953.0,0.0515127545975875,0.05262156183671059,0.9021580378071612
NUDC,True,12776.0,0.39598576230966975,0.41244705052406544,0.78791028202348
KDF1,True,10176.0,0.014336563179750841,0.014132423448920812,0.899459421144819
SLC9A1,True,9330.0,0.04202096104409729,0.043225659206591306,0.9097996338129167
WDTC1,True,8557.0,0.059323709709313825,0.06114958708339894,0.9174186071034388
TMEM222,True,12058.0,0.12299782479731065,0.12350348125701198,0.8519966020449489
SYTL1,True,8314.0,0.5741546371366423,0.7577260973150636,0.9197601698401712
MAP3K6,True,9822.0,0.03915364840814712,0.03999754328392879,0.9037761188782233
WASF2,True,3989.0,0.5647617164326676,0.7815762954351969,0.968742830035415
BX293535.1,True,3532.0,0.00781095511172632,0.00834400618472993,0.9790217306058772
AHDC1,True,9309.0,0.023235119636147914,0.023488554028033636,0.9099903762706635
FGR,True,338.0,0.46756970535890846,1.406295151128032,2.201976326901303
IFI6,True,706.0,0.24995056357524223,0.439446749261529,1.408782134603089
FAM76A,True,9200.0,0.054281194384022145,0.055888423245641104,0.9110870384294547
STX12,True,8754.0,0.15048447696262607,0.16562470345721875,0.915650215987124
PPP1R8,True,10672.0,0.04973304330630809,0.05023081965953958,0.8915592780561906
THEMIS2,True,1076.0,0.19458176784654935,0.2862714408066785,1.2001749848969154
RPA2,True,12638.0,0.31945817678465493,0.3311411678837869,0.8105682664070194
XKR8,True,8103.0,0.07494561993276647,0.07724623950271632,0.9219683884503834
EYA3,True,10036.0,0.04498714652956298,0.04593403029062129,0.9011835496655453
PTAFR,True,623.0,0.060609056753015624,0.10143841077923528,1.4912782962617812
DNAJC8,True,12512.0,0.5433063080877991,0.6322092195251084,0.8227603433394001
ATP5IF1,True,12990.0,0.9620328257860391,1.1681420552854642,0.7078473856621622
AL353622.1,True,6569.0,0.010579394898160965,0.01086403685809323,0.9358651550580446
SESN2,True,8918.0,0.03322127743721574,0.034296217816779974,0.9140243709400037
MED18,True,8940.0,0.020367807000197746,0.020548228197168034,0.9137411990172534
PHACTR4,True,5447.0,0.10668380462724936,0.11726373724979923,0.9471111688268978
RCC1,True,7883.0,0.07652758552501483,0.07918200818784205,0.9240625515551782
TRNAU1AP,True,12021.0,0.1334783468459561,0.13544983998397844,0.8537582982126357
SNHG12,True,11601.0,0.1678860984773581,0.17709180310347508,0.8688497797511477
TAF12,True,12173.0,0.1871663041328851,0.1938785905543845,0.8467981710260885
LINC01715,True,7962.0,0.014929800276843978,0.015103886102857362,0.9233177802912534
GMEB1,True,4036.0,0.0802847538066047,0.0874922159506602,0.9681165463630899
YTHDF2,True,12498.0,0.281095511172632,0.2918862317547889,0.8240773256647289
EPB41,True,4165.0,0.47478742337354163,0.6283072078473498,0.9656644304094261
SRSF4,True,12485.0,0.4055764287126755,0.44441070794232557,0.8252387439581311
