0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
397,0,0,1,1,0,7,23,0,0,0,0,1,0,0
0,159,0,0,0,1,0,0,0,0,0,2,0,0,0
0,0,53,0,0,0,0,0,0,6,0,0,0,0,0
2,0,0,22,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,75,0,5,4,0,0,1,0,0,0,0
0,1,0,0,0,27,0,0,0,0,0,0,0,0,0
4,0,0,0,5,0,136,1,0,0,1,0,0,0,0
15,0,0,1,1,0,1,176,5,1,0,0,0,0,0
0,0,0,0,0,0,0,1,68,0,0,0,0,0,0
0,0,3,0,0,0,1,0,1,58,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,174,0,0,0,0
0,7,0,0,0,1,0,0,0,0,0,38,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,13,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
